COUNTY,SITE,BEGDATE,DIR,HR1,HR2,HR3,HR4,HR5,HR6,HR7,HR8,HR9,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR20,HR21,HR22,HR23,HR24,TOTVOL,PEAKHR,PEAKVOL,TYPE,TRUCKS
93,0010,4/6/2020,N,20,5,13,9,18,39,107,330,437,438,442,475,574,603,606,592,638,592,377,279,218,131,75,55,7073,17,638,,
93,0010,4/6/2020,S,22,10,4,11,13,37,158,342,488,469,471,561,574,579,572,552,570,524,394,286,200,93,64,46,7040,14,579,,
87,0031,4/6/2020,E,57,29,29,40,92,353,986,1214,1142,927,785,822,775,822,843,761,789,778,635,540,369,307,241,120,13456,08,1214,,
87,0031,4/6/2020,W,75,46,30,28,49,127,307,586,639,655,767,808,884,1036,1188,1364,1395,1049,811,642,434,389,269,213,13791,17,1395,,
29,0037,4/6/2020,E,8,5,4,15,26,72,108,226,177,171,148,149,172,165,172,190,192,187,129,87,42,31,27,21,2524,08,226,,
29,0037,4/6/2020,W,9,7,6,3,18,44,105,168,115,139,151,153,200,179,196,196,253,263,187,98,71,42,41,25,2669,18,263,,
75,0038,4/6/2020,E,43,21,29,54,111,373,759,939,833,809,746,958,925,905,901,946,923,890,644,524,353,228,153,76,13143,12,958,,
75,0038,4/6/2020,W,38,31,21,48,52,220,457,668,658,656,729,877,1048,972,977,1062,1237,1209,882,582,428,272,199,99,13422,17,1237,,
07,0039,4/6/2020,E,13,7,20,45,106,204,362,417,376,316,364,334,387,383,346,471,571,600,361,183,132,74,39,20,6131,18,600,,
07,0039,4/6/2020,W,17,20,13,29,101,405,554,543,345,306,306,349,374,376,412,394,400,454,284,182,124,77,61,20,6146,07,554,,
26,0043,4/6/2020,N,12,7,5,8,11,24,65,110,101,134,166,169,213,211,202,289,353,347,203,111,101,59,33,26,2960,17,353,,
26,0043,4/6/2020,S,7,8,5,16,39,93,282,351,254,194,192,201,190,178,175,189,188,122,114,79,62,23,25,15,3002,08,351,,
02,0044,4/6/2020,N,29,21,19,37,67,162,316,487,508,474,490,522,545,571,547,489,556,482,286,224,142,98,61,53,7186,14,571,,
02,0044,4/6/2020,S,28,13,23,28,56,149,219,269,324,346,308,413,379,427,404,431,498,495,278,172,147,86,36,42,5571,17,498,,
74,0047,4/6/2020,N,13,7,14,14,40,78,101,141,126,148,177,200,238,184,211,231,225,258,179,133,72,58,43,28,2919,18,258,,
74,0047,4/6/2020,S,18,12,22,34,65,151,203,187,160,153,197,190,198,205,228,200,224,183,142,149,84,54,36,35,3130,15,228,,
48,0048,4/6/2020,E,8,7,6,12,26,146,244,213,144,151,156,166,169,172,166,159,183,190,137,89,57,48,40,23,2712,07,244,,
48,0048,4/6/2020,W,3,3,3,6,22,44,91,110,97,92,115,106,132,127,139,188,255,220,112,81,40,38,21,23,2068,17,255,,
53,0050,4/6/2020,N,17,19,10,23,38,67,123,156,147,168,202,196,197,239,220,273,219,217,140,112,74,55,34,57,3003,16,273,,
53,0050,4/6/2020,S,31,32,31,43,87,150,268,260,185,195,211,213,222,245,225,198,225,214,158,120,83,69,59,48,3572,07,268,,
